order_id,order_ts,city,store_id,customer_id,category,items_count,gross_order_value,discount_amount,fulfilled_order_value,eta_mins,actual_delivery_mins,sla_breached,stockout_flag,cancelled_flag,payment_mode,variable_cost,contribution_margin
ORD000016,2024-01-07 16:17:43,Bengaluru,DS_09,CUST1636,Dairy & Breakfast,5,217.98,8.93,209.05,17,18,0,0,0,Card,65.89,143.16
ORD000017,2024-03-10 16:09:27,Bengaluru,DS_05,CUST1661,Beverages,6,351.47,57.25,294.22,13,16,0,0,0,Card,95.33,198.88
ORD000018,2024-02-11 12:34:57,Bengaluru,DS_06,CUST1860,Beverages,8,533.56,47.42,486.14,27,30,1,0,0,Card,111.93,374.21
ORD000019,2024-02-04 08:07:51,Delhi NCR,DS_06,CUST4204,Household,3,859.07,43.38,815.69,26,38,1,0,0,COD,102.24,713.45
ORD000020,2024-03-24 21:24:54,Delhi NCR,DS_07,CUST2344,Dairy & Breakfast,7,766.01,152.05,613.96,26,29,1,0,0,UPI,107.51,506.45
ORD000021,2024-03-16 01:58:54,Bengaluru,DS_07,CUST2415,Beverages,4,305.83,0.0,305.83,24,28,1,0,0,UPI,102.89,202.94
ORD000022,2024-02-28 20:34:08,Bengaluru,DS_05,CUST3077,Dairy & Breakfast,2,113.78,12.11,101.67,28,26,1,0,0,UPI,97.45,4.23
ORD000023,2024-02-09 01:39:39,Bengaluru,DS_10,CUST3484,Beverages,3,702.25,106.54,595.71,23,24,1,0,0,UPI,93.11,502.6
ORD000024,2024-02-12 22:18:25,Delhi NCR,DS_03,CUST1100,Fruits & Vegetables,7,670.17,0.0,670.17,15,12,0,0,0,Wallet,107.35,562.82
ORD000025,2024-02-29 08:22:17,Mumbai,DS_03,CUST4293,Household,7,405.15,61.46,343.7,24,26,1,1,0,Card,102.46,241.24
ORD000026,2024-01-05 21:01:02,Hyderabad,DS_08,CUST1651,Beverages,6,530.04,75.36,454.68,15,15,0,0,0,UPI,86.3,368.39
ORD000027,2024-01-26 03:57:36,Bengaluru,DS_03,CUST1947,Dairy & Breakfast,4,797.98,81.58,716.4,25,27,1,0,0,UPI,96.73,619.66
ORD000028,2024-01-21 18:32:46,Mumbai,DS_07,CUST4495,Household,4,136.51,14.13,122.37,8,16,0,0,0,COD,80.88,41.49
ORD000029,2024-02-22 06:08:41,Mumbai,DS_03,CUST3548,Snacks & Munchies,6,789.57,68.1,721.47,15,15,0,0,0,Wallet,83.87,637.6
ORD000030,2024-02-27 11:12:36,Bengaluru,DS_02,CUST2926,Fruits & Vegetables,5,537.1,50.85,486.25,21,24,1,0,0,Card,85.84,400.41
ORD000031,2024-02-03 23:28:00,Hyderabad,DS_08,CUST3865,Dairy & Breakfast,2,266.85,36.45,230.4,23,25,1,0,0,UPI,100.39,130.02
ORD000032,2024-02-28 19:49:56,Delhi NCR,DS_11,CUST1994,Fruits & Vegetables,8,583.24,112.65,470.58,22,24,1,0,0,COD,96.49,374.09
ORD000033,2024-03-23 13:19:36,Mumbai,DS_07,CUST2483,Beverages,5,682.68,97.08,585.6,17,10,0,1,0,COD,91.07,494.53
ORD000034,2024-03-09 16:08:54,Bengaluru,DS_08,CUST1998,Beverages,3,214.33,23.18,191.15,24,20,0,0,0,Card,83.12,108.03
ORD000035,2024-03-05 20:59:31,Hyderabad,DS_02,CUST1988,Beverages,10,378.1,53.89,324.21,19,22,1,0,0,Card,88.38,235.83
ORD000036,2024-03-14 14:39:06,Mumbai,DS_06,CUST3878,Snacks & Munchies,5,278.33,15.71,262.62,22,29,1,0,0,UPI,97.57,165.04
ORD000037,2024-01-23 09:11:33,Bengaluru,DS_02,CUST4410,Fruits & Vegetables,11,188.54,32.87,155.67,21,24,1,0,0,UPI,107.82,47.86
ORD000038,2024-01-18 10:07:44,Mumbai,DS_01,CUST2034,Household,6,322.27,42.89,279.38,20,35,1,0,0,UPI,103.87,175.52
ORD000039,2024-03-20 19:40:05,Delhi NCR,DS_07,CUST2845,Household,8,137.68,5.38,0,24,31,1,1,1,UPI,7.57,-7.57
ORD000040,2024-02-27 03:21:46,Mumbai,DS_10,CUST2924,Dairy & Breakfast,4,599.27,66.48,532.79,8,12,0,0,0,UPI,92.4,440.39
ORD000041,2024-03-09 15:19:35,Bengaluru,DS_01,CUST1679,Personal Care,7,308.38,42.84,265.54,19,13,0,0,0,Card,93.49,172.05
ORD000042,2024-03-21 00:37:08,Bengaluru,DS_11,CUST4424,Personal Care,7,542.03,100.32,0,22,30,1,0,1,Card,10.0,-10.0
ORD000043,2024-01-03 00:20:25,Mumbai,DS_06,CUST2315,Beverages,7,299.02,36.68,262.34,12,17,0,0,0,COD,83.13,179.21
ORD000044,2024-02-02 00:29:53,Hyderabad,DS_08,CUST2692,Fruits & Vegetables,4,402.98,27.5,375.48,19,21,1,0,0,Card,75.44,300.04
ORD000045,2024-03-01 10:50:31,Bengaluru,DS_03,CUST2272,Snacks & Munchies,5,807.39,98.94,708.46,14,21,1,0,0,Card,101.02,607.43
ORD000046,2024-01-10 01:11:35,Bengaluru,DS_04,CUST3455,Snacks & Munchies,9,267.19,57.48,209.71,23,36,1,0,0,COD,101.36,108.35
ORD000047,2024-03-24 21:19:43,Hyderabad,DS_08,CUST3206,Snacks & Munchies,6,142.31,21.82,120.49,18,19,0,0,0,UPI,77.2,43.28
ORD000048,2024-03-15 01:37:19,Delhi NCR,DS_11,CUST1623,Snacks & Munchies,5,516.26,79.98,436.29,14,14,0,0,0,UPI,72.81,363.48
ORD000049,2024-02-18 18:25:23,Bengaluru,DS_06,CUST4491,Beverages,4,171.2,38.82,0,29,38,1,0,1,Card,8.84,-8.84
ORD000050,2024-01-31 17:52:26,Delhi NCR,DS_12,CUST1411,Snacks & Munchies,4,606.18,27.48,578.7,17,19,0,0,0,Card,122.49,456.21
ORD000051,2024-03-28 17:07:50,Mumbai,DS_10,CUST1586,Dairy & Breakfast,7,92.53,12.91,79.62,17,25,1,0,0,Card,106.31,-26.69
ORD000052,2024-02-14 14:52:36,Bengaluru,DS_07,CUST4495,Snacks & Munchies,8,920.95,96.28,824.67,15,12,0,0,0,UPI,94.91,729.76
ORD000053,2024-02-25 12:40:35,Hyderabad,DS_04,CUST3486,Personal Care,5,363.23,39.23,324.0,17,19,0,0,0,UPI,97.63,226.38
ORD000054,2024-01-19 11:02:22,Delhi NCR,DS_02,CUST2208,Dairy & Breakfast,2,599.1,62.31,536.79,11,6,0,0,0,UPI,62.16,474.63
ORD000055,2024-01-20 11:53:08,Hyderabad,DS_03,CUST4089,Household,8,197.93,21.15,176.79,19,16,0,0,0,COD,76.04,100.74
ORD000056,2024-03-11 07:32:50,Mumbai,DS_11,CUST2521,Fruits & Vegetables,6,668.43,109.19,559.24,18,16,0,0,0,UPI,88.22,471.03
ORD000057,2024-01-03 10:18:41,Bengaluru,DS_04,CUST3201,Fruits & Vegetables,4,597.51,115.11,482.4,14,10,0,0,0,UPI,94.04,388.36
ORD000058,2024-03-06 02:20:46,Mumbai,DS_04,CUST2485,Fruits & Vegetables,7,513.14,52.19,460.95,8,14,0,0,0,Card,76.28,384.67
ORD000059,2024-02-22 20:41:50,Bengaluru,DS_09,CUST1848,Snacks & Munchies,10,132.56,12.06,120.5,24,28,1,0,0,COD,108.6,11.91
ORD000060,2024-01-23 14:55:34,Bengaluru,DS_04,CUST3411,Dairy & Breakfast,5,341.1,42.18,298.92,17,20,0,0,0,UPI,91.51,207.41
ORD000061,2024-01-06 02:05:54,Bengaluru,DS_11,CUST1127,Fruits & Vegetables,6,193.56,25.98,167.58,13,21,1,0,0,UPI,79.24,88.34
ORD000062,2024-02-08 23:50:09,Mumbai,DS_10,CUST3173,Dairy & Breakfast,4,414.43,43.43,371.0,12,12,0,0,0,Card,72.92,298.08
ORD000063,2024-02-11 18:26:13,Mumbai,DS_11,CUST2044,Dairy & Breakfast,7,170.15,8.59,161.56,16,13,0,0,0,UPI,89.91,71.65
ORD000064,2024-03-30 14:42:39,Mumbai,DS_11,CUST4073,Snacks & Munchies,6,453.68,79.32,374.35,19,18,0,1,0,Wallet,77.48,296.87
ORD000065,2024-01-05 23:52:40,Delhi NCR,DS_10,CUST3764,Beverages,6,357.87,73.49,284.38,24,33,1,0,0,UPI,89.77,194.6
ORD000066,2024-03-31 04:55:23,Delhi NCR,DS_01,CUST1375,Beverages,1,645.6,107.91,537.69,18,24,1,0,0,UPI,89.33,448.36
ORD000067,2024-02-10 18:16:50,Delhi NCR,DS_07,CUST2118,Fruits & Vegetables,5,436.47,73.85,362.62,9,6,0,0,0,Card,80.44,282.17
ORD000068,2024-02-03 12:18:39,Bengaluru,DS_01,CUST3037,Beverages,6,417.31,37.52,0,12,19,0,0,1,UPI,12.5,-12.5
ORD000069,2024-02-06 21:56:51,Mumbai,DS_07,CUST3906,Beverages,7,505.87,18.66,487.2,19,13,0,0,0,UPI,98.26,388.94
ORD000070,2024-02-09 07:47:37,Bengaluru,DS_06,CUST4191,Fruits & Vegetables,6,79.11,3.25,75.86,19,19,0,0,0,Card,77.51,-1.65
ORD000071,2024-01-12 01:42:04,Delhi NCR,DS_02,CUST1725,Household,7,504.0,65.09,438.9,13,12,0,0,0,Card,86.04,352.87
ORD000072,2024-02-15 01:05:20,Bengaluru,DS_01,CUST2441,Snacks & Munchies,1,803.33,130.94,672.39,13,8,0,0,0,UPI,83.26,589.13
ORD000073,2024-02-13 21:02:08,Bengaluru,DS_10,CUST3669,Fruits & Vegetables,6,104.98,10.51,94.47,27,35,1,0,0,Card,119.59,-25.12
ORD000074,2024-02-18 16:16:13,Mumbai,DS_05,CUST2586,Snacks & Munchies,9,212.68,42.07,170.61,16,11,0,0,0,UPI,81.06,89.55
ORD000075,2024-02-28 01:10:30,Bengaluru,DS_11,CUST1579,Household,5,123.38,11.45,111.93,20,18,0,0,0,UPI,86.93,25.01
ORD000076,2024-03-04 16:43:05,Delhi NCR,DS_07,CUST3082,Dairy & Breakfast,2,704.23,28.48,675.75,11,20,0,0,0,UPI,80.72,595.03
ORD000077,2024-01-18 12:02:34,Hyderabad,DS_10,CUST1536,Snacks & Munchies,3,827.77,128.15,699.62,17,20,0,0,0,UPI,71.54,628.08
ORD000078,2024-01-18 13:24:05,Bengaluru,DS_08,CUST4420,Fruits & Vegetables,6,1001.42,86.48,914.94,11,17,0,0,0,Card,98.46,816.49
ORD000079,2024-02-25 09:10:24,Bengaluru,DS_09,CUST4486,Fruits & Vegetables,6,307.71,0.0,307.71,15,18,0,0,0,UPI,92.6,215.11
ORD000080,2024-01-16 13:33:17,Mumbai,DS_01,CUST2305,Household,7,301.34,51.66,0,18,26,1,0,1,COD,20.64,-20.64
ORD000081,2024-03-04 02:31:05,Hyderabad,DS_10,CUST3161,Snacks & Munchies,10,345.96,52.57,293.4,21,14,0,0,0,COD,86.33,207.06
ORD000082,2024-01-24 01:44:30,Delhi NCR,DS_04,CUST3337,Snacks & Munchies,7,321.47,8.55,0,21,32,1,0,1,Card,12.97,-12.97
ORD000083,2024-01-09 07:29:41,Delhi NCR,DS_06,CUST4229,Fruits & Vegetables,7,497.33,95.49,401.84,15,15,0,0,0,UPI,81.93,319.91
ORD000084,2024-03-04 19:09:51,Bengaluru,DS_08,CUST1151,Dairy & Breakfast,5,607.94,40.3,567.65,19,17,0,0,0,UPI,81.05,486.6
ORD000085,2024-01-20 08:47:54,Delhi NCR,DS_07,CUST2638,Beverages,3,327.84,48.24,279.6,18,17,0,0,0,Wallet,79.66,199.94
ORD000086,2024-02-07 12:56:51,Bengaluru,DS_05,CUST2255,Snacks & Munchies,5,348.68,23.13,325.55,17,21,1,0,0,Card,94.46,231.08
ORD000087,2024-01-17 04:18:37,Mumbai,DS_12,CUST3782,Fruits & Vegetables,6,690.88,163.7,527.18,19,25,1,0,0,UPI,107.99,419.19
ORD000088,2024-03-23 09:32:34,Mumbai,DS_09,CUST2503,Dairy & Breakfast,6,583.61,72.87,510.74,14,20,0,0,0,Card,63.0,447.74
ORD000089,2024-01-25 05:38:14,Bengaluru,DS_02,CUST2851,Fruits & Vegetables,8,239.19,34.85,204.34,16,16,0,0,0,Card,90.47,113.87
ORD000090,2024-01-09 12:34:02,Bengaluru,DS_04,CUST4244,Fruits & Vegetables,8,937.34,105.45,831.89,13,13,0,0,0,COD,71.01,760.88
ORD000091,2024-01-03 13:14:46,Mumbai,DS_10,CUST1302,Fruits & Vegetables,7,364.66,0.0,364.66,26,29,1,0,0,UPI,88.14,276.52
ORD000092,2024-01-08 04:49:01,Bengaluru,DS_06,CUST3905,Dairy & Breakfast,3,433.46,96.23,337.24,15,14,0,0,0,Wallet,87.04,250.2
ORD000093,2024-02-20 09:07:10,Bengaluru,DS_11,CUST3557,Beverages,6,1292.28,154.66,1137.63,23,28,1,0,0,Card,116.1,1021.53
ORD000094,2024-03-22 19:14:13,Delhi NCR,DS_03,CUST2800,Snacks & Munchies,3,295.58,24.69,270.89,31,28,1,0,0,UPI,111.73,159.16
ORD000095,2024-02-03 00:42:22,Bengaluru,DS_04,CUST1577,Fruits & Vegetables,7,582.57,58.67,523.89,10,15,0,0,0,UPI,84.89,439.01
ORD000096,2024-02-07 07:08:02,Mumbai,DS_01,CUST1207,Dairy & Breakfast,5,945.86,77.28,868.58,28,29,1,0,0,Card,105.45,763.13
ORD000097,2024-03-22 19:58:55,Bengaluru,DS_09,CUST2182,Fruits & Vegetables,6,640.85,4.35,636.51,19,28,1,0,0,Card,84.38,552.13
ORD000098,2024-03-15 05:11:26,Bengaluru,DS_01,CUST1561,Beverages,4,522.55,32.58,489.97,27,32,1,0,0,COD,100.48,389.49
ORD000099,2024-02-20 10:07:58,Mumbai,DS_12,CUST3305,Dairy & Breakfast,4,439.22,29.32,409.9,17,28,1,0,0,COD,105.72,304.18
ORD000100,2024-02-05 18:20:09,Bengaluru,DS_08,CUST1698,Snacks & Munchies,4,343.04,50.0,293.03,21,16,0,0,0,COD,58.78,234.26
ORD000101,2024-03-16 04:57:47,Bengaluru,DS_06,CUST3712,Snacks & Munchies,5,75.56,13.1,62.46,23,27,1,0,0,UPI,90.54,-28.08
ORD000102,2024-01-17 19:32:39,Hyderabad,DS_05,CUST3887,Fruits & Vegetables,3,441.43,41.57,399.86,18,10,0,0,0,Card,83.18,316.67
ORD000103,2024-01-31 18:45:30,Bengaluru,DS_01,CUST2178,Household,10,458.39,95.32,363.07,14,9,0,0,0,UPI,74.25,288.83
ORD000104,2024-03-30 17:05:54,Delhi NCR,DS_01,CUST1410,Snacks & Munchies,4,427.29,53.53,373.76,23,21,1,0,0,Card,83.65,290.11
ORD000105,2024-01-10 18:17:11,Bengaluru,DS_01,CUST4148,Fruits & Vegetables,3,678.19,190.97,487.22,20,14,0,0,0,Card,75.97,411.25
ORD000106,2024-02-21 22:59:42,Bengaluru,DS_01,CUST1037,Dairy & Breakfast,10,772.73,117.01,655.71,22,12,0,1,0,Card,79.71,576.0
ORD000107,2024-03-31 03:27:23,Delhi NCR,DS_10,CUST3762,Beverages,1,470.63,75.29,395.33,13,17,0,0,0,UPI,100.03,295.3
ORD000108,2024-03-24 02:57:57,Bengaluru,DS_10,CUST3960,Snacks & Munchies,4,620.86,89.08,531.78,28,39,1,0,0,UPI,109.63,422.15
ORD000109,2024-02-04 21:49:01,Bengaluru,DS_03,CUST2958,Fruits & Vegetables,6,186.52,11.43,175.1,24,24,1,1,0,COD,89.91,85.19
ORD000110,2024-02-28 19:28:26,Hyderabad,DS_02,CUST1252,Personal Care,8,374.09,25.21,348.88,24,16,0,0,0,Wallet,76.2,272.68
ORD000111,2024-01-20 15:03:33,Mumbai,DS_08,CUST3309,Fruits & Vegetables,5,545.65,46.77,498.88,28,32,1,0,0,UPI,107.96,390.92
ORD000112,2024-03-19 08:14:56,Bengaluru,DS_03,CUST4149,Fruits & Vegetables,5,326.48,40.7,285.78,21,25,1,0,0,Card,114.71,171.07
ORD000113,2024-03-11 19:22:03,Mumbai,DS_03,CUST3200,Dairy & Breakfast,5,629.94,112.67,517.27,21,27,1,0,0,UPI,80.32,436.95
ORD000114,2024-01-22 14:54:20,Bengaluru,DS_11,CUST2717,Beverages,8,1013.17,112.45,900.72,13,17,0,0,0,Wallet,98.24,802.48
ORD000115,2024-03-27 07:36:59,Hyderabad,DS_01,CUST1573,Snacks & Munchies,3,69.01,9.15,59.86,18,19,0,0,0,UPI,91.05,-31.19
ORD000116,2024-03-20 04:55:11,Delhi NCR,DS_09,CUST3030,Fruits & Vegetables,6,550.64,43.99,506.65,22,23,1,0,0,UPI,82.78,423.87
ORD000117,2024-03-03 11:02:06,Delhi NCR,DS_01,CUST3303,Snacks & Munchies,4,664.11,62.39,601.72,27,21,1,0,0,UPI,96.97,504.75
ORD000118,2024-02-21 10:58:13,Bengaluru,DS_10,CUST3966,Beverages,6,199.49,40.47,159.02,18,17,0,0,0,UPI,97.05,61.96
ORD000119,2024-01-21 06:44:48,Mumbai,DS_09,CUST3657,Dairy & Breakfast,3,1677.99,494.96,1183.03,29,31,1,0,0,UPI,90.48,1092.55
ORD000120,2024-02-19 18:56:56,Bengaluru,DS_04,CUST2351,Dairy & Breakfast,6,916.01,61.76,854.26,16,19,0,0,0,Card,94.23,760.02
ORD000121,2024-01-24 20:35:32,Delhi NCR,DS_08,CUST1753,Household,4,475.38,48.29,427.09,18,28,1,0,0,Card,95.97,331.12
ORD000122,2024-03-03 07:31:27,Bengaluru,DS_12,CUST2125,Snacks & Munchies,6,610.92,94.24,516.68,23,28,1,0,0,UPI,93.05,423.63
ORD000123,2024-02-18 18:14:53,Mumbai,DS_06,CUST2663,Snacks & Munchies,5,944.93,156.37,788.56,14,18,0,0,0,UPI,92.03,696.53
ORD000124,2024-03-08 16:40:42,Mumbai,DS_06,CUST3317,Household,7,268.02,13.03,254.99,17,16,0,0,0,Wallet,90.27,164.72
ORD000125,2024-03-27 21:00:52,Bengaluru,DS_06,CUST1064,Household,8,501.69,74.75,426.95,30,30,1,1,0,Card,106.68,320.27
ORD000126,2024-03-14 00:52:47,Bengaluru,DS_12,CUST2416,Fruits & Vegetables,7,967.39,94.93,872.46,9,6,0,0,0,UPI,84.49,787.97
ORD000127,2024-03-22 10:15:12,Mumbai,DS_03,CUST3784,Snacks & Munchies,3,148.54,8.77,139.77,13,11,0,0,0,UPI,94.8,44.97
ORD000128,2024-03-15 23:16:49,Bengaluru,DS_03,CUST1357,Fruits & Vegetables,5,596.41,57.16,539.25,21,14,0,0,0,UPI,86.32,452.93
ORD000129,2024-02-23 20:38:16,Mumbai,DS_04,CUST3342,Snacks & Munchies,7,487.18,89.88,397.29,24,28,1,1,0,Card,86.34,310.96
ORD000130,2024-01-17 10:58:03,Bengaluru,DS_05,CUST1027,Household,5,203.27,24.58,178.69,12,17,0,1,0,UPI,99.98,78.7
ORD000131,2024-03-01 05:09:09,Bengaluru,DS_07,CUST2307,Dairy & Breakfast,5,378.78,23.01,355.76,19,16,0,0,0,Card,76.19,279.57
ORD000132,2024-02-17 16:07:47,Delhi NCR,DS_12,CUST1283,Personal Care,6,339.18,21.8,317.38,22,43,1,0,0,COD,121.39,195.99
ORD000133,2024-02-09 17:22:08,Hyderabad,DS_12,CUST2713,Snacks & Munchies,5,666.41,70.02,596.39,26,22,1,0,0,COD,83.66,512.73
ORD000134,2024-02-04 21:45:51,Bengaluru,DS_07,CUST1433,Fruits & Vegetables,2,709.18,32.65,676.53,27,37,1,1,0,UPI,89.01,587.52
ORD000135,2024-02-19 13:57:42,Bengaluru,DS_02,CUST1475,Personal Care,1,788.28,81.83,706.45,14,7,0,0,0,COD,92.63,613.82
ORD000136,2024-02-03 19:39:52,Delhi NCR,DS_03,CUST4033,Dairy & Breakfast,6,329.14,61.35,267.79,15,20,0,0,0,UPI,89.89,177.9
ORD000137,2024-01-16 13:08:35,Mumbai,DS_01,CUST3886,Fruits & Vegetables,3,342.86,5.4,337.45,19,24,1,0,0,UPI,106.41,231.04
ORD000138,2024-03-09 07:52:44,Hyderabad,DS_10,CUST1706,Personal Care,6,172.43,29.17,143.26,16,29,1,0,0,Card,83.51,59.75
ORD000139,2024-01-29 21:05:48,Mumbai,DS_11,CUST1709,Snacks & Munchies,5,665.19,81.25,583.94,23,28,1,0,0,Card,93.39,490.55
ORD000140,2024-01-14 14:54:52,Mumbai,DS_03,CUST1338,Snacks & Munchies,3,239.97,9.13,230.84,14,16,0,0,0,COD,73.36,157.47
ORD000141,2024-01-22 09:52:15,Delhi NCR,DS_06,CUST3220,Personal Care,6,315.03,26.65,288.38,16,17,0,0,0,UPI,94.64,193.74
ORD000142,2024-03-10 19:20:43,Delhi NCR,DS_04,CUST4320,Beverages,3,426.48,70.1,356.38,21,35,1,1,0,Card,102.29,254.09
ORD000143,2024-03-24 14:23:19,Delhi NCR,DS_05,CUST3345,Dairy & Breakfast,5,723.86,98.84,625.02,19,21,1,0,0,COD,85.23,539.79
ORD000144,2024-03-28 09:30:49,Delhi NCR,DS_08,CUST1582,Snacks & Munchies,9,675.44,64.57,610.87,26,27,1,0,0,UPI,112.81,498.07
ORD000145,2024-02-10 05:12:51,Hyderabad,DS_12,CUST1381,Beverages,3,375.25,55.69,319.56,10,11,0,0,0,UPI,64.49,255.07
ORD000146,2024-03-05 11:34:02,Hyderabad,DS_01,CUST1188,Fruits & Vegetables,6,702.38,43.58,658.79,19,14,0,0,0,COD,84.92,573.87
ORD000147,2024-02-14 14:54:11,Hyderabad,DS_02,CUST3681,Dairy & Breakfast,3,70.33,10.99,59.34,21,6,0,0,0,UPI,85.99,-26.65
ORD000148,2024-03-05 12:25:03,Delhi NCR,DS_07,CUST3842,Fruits & Vegetables,5,391.21,30.66,360.55,17,18,0,0,0,UPI,107.81,252.75
ORD000149,2024-02-07 04:37:03,Mumbai,DS_10,CUST3662,Fruits & Vegetables,6,161.23,26.73,134.51,20,13,0,0,0,UPI,89.21,45.29
ORD000150,2024-01-21 16:27:18,Bengaluru,DS_02,CUST2016,Snacks & Munchies,3,607.73,102.18,505.55,19,22,1,0,0,Card,97.87,407.67
ORD000151,2024-02-28 23:47:40,Delhi NCR,DS_04,CUST3027,Dairy & Breakfast,7,309.94,72.72,237.22,18,22,1,0,0,UPI,86.13,151.09
ORD000152,2024-03-02 22:50:22,Bengaluru,DS_02,CUST1056,Dairy & Breakfast,11,568.33,54.18,514.15,23,33,1,0,0,UPI,88.11,426.04
ORD000153,2024-01-06 20:54:09,Bengaluru,DS_10,CUST3598,Personal Care,5,311.05,39.43,0,16,13,0,1,1,Card,12.72,-12.72
ORD000154,2024-03-03 10:39:31,Delhi NCR,DS_02,CUST1051,Beverages,5,138.49,14.6,123.89,14,21,1,0,0,Card,92.99,30.9
ORD000155,2024-01-16 21:45:27,Mumbai,DS_05,CUST3917,Household,2,472.83,51.04,421.78,16,25,1,0,0,Card,114.61,307.18
ORD000156,2024-02-18 04:06:27,Bengaluru,DS_01,CUST2001,Fruits & Vegetables,7,437.75,18.55,419.19,17,18,0,0,0,UPI,96.13,323.06
ORD000157,2024-03-30 08:16:59,Mumbai,DS_01,CUST1734,Dairy & Breakfast,7,212.08,12.85,199.23,17,12,0,0,0,Card,78.96,120.27
ORD000158,2024-01-05 11:01:16,Mumbai,DS_08,CUST4164,Personal Care,6,445.95,66.89,379.06,14,20,0,0,0,COD,82.01,297.05
ORD000159,2024-02-23 01:34:31,Bengaluru,DS_09,CUST1975,Snacks & Munchies,8,815.74,99.9,715.83,12,23,1,0,0,Wallet,103.19,612.65
ORD000160,2024-01-14 19:45:15,Delhi NCR,DS_02,CUST3424,Snacks & Munchies,3,725.34,168.76,556.58,16,16,0,0,0,UPI,87.93,468.65
ORD000161,2024-01-13 16:34:20,Bengaluru,DS_08,CUST2286,Snacks & Munchies,4,275.8,60.38,215.43,17,13,0,0,0,Card,101.67,113.76
ORD000162,2024-03-15 19:00:53,Mumbai,DS_09,CUST1200,Beverages,5,254.93,29.86,0,29,26,1,0,1,UPI,12.9,-12.9
ORD000163,2024-01-17 21:08:28,Mumbai,DS_11,CUST3640,Fruits & Vegetables,6,95.75,2.38,0,23,14,0,1,1,Card,14.81,-14.81
ORD000164,2024-03-30 01:45:48,Delhi NCR,DS_07,CUST3032,Fruits & Vegetables,8,136.76,12.37,124.39,18,22,1,1,0,Card,97.29,27.1
ORD000165,2024-01-17 18:40:11,Mumbai,DS_11,CUST4265,Snacks & Munchies,5,359.55,66.3,293.24,18,14,0,0,0,Card,85.62,207.63
ORD000166,2024-03-18 21:11:13,Mumbai,DS_01,CUST4320,Personal Care,7,516.48,25.74,490.74,26,29,1,0,0,UPI,94.0,396.74
ORD000167,2024-02-15 19:06:15,Delhi NCR,DS_06,CUST4437,Household,11,502.89,60.14,442.75,25,23,1,0,0,UPI,120.46,322.29
ORD000168,2024-01-23 23:12:14,Hyderabad,DS_08,CUST3220,Dairy & Breakfast,9,566.78,43.67,523.11,14,11,0,0,0,Card,89.25,433.86
ORD000169,2024-01-09 18:18:53,Delhi NCR,DS_03,CUST4171,Fruits & Vegetables,8,127.72,16.42,111.3,11,6,0,0,0,Card,67.23,44.08
